keyword,log-likelihood,score
rekolekcja,101.59171121294332,0.0011239624961573932
spowiedź,80.5576209886085,0.0008597832769750999
świadek,71.07065627750498,0.0014265677835843837
chłopak,70.67668796725673,0.001023094067015063
związek,65.82480532593019,0.0009126191208115586
czystość,56.91921696587981,0.0006148170919151552
różaniec,53.00516455703417,0.0005379649554257608
ciąża,50.2416156576502,0.0005571779895481094
odmawiać,46.15368412032919,0.0005956040577928067
Maryja,43.5416768218881,0.000605210574853981
modlitwa,36.38796553332568,0.00268021826006763
ślub,36.25931487239456,0.0008357669843221642
badanie,35.530081834502816,0.0003890639409775592
sakrament,34.974074218316375,0.000384260682446972
intencja,34.41867640471699,0.0003794574239163849
tydzień,34.14423401116228,0.0011095527205656317
matka,33.80658544466515,0.0007829311404857055
my,32.56953762886147,0.0039050491853673533
nasz,32.377348905636055,0.0012344374423608976
małżeństwo,29.404429848038944,0.0008021441746080541
ksiądz,27.080907964788786,0.0008405702428527513
czy,25.85702465418956,0.0020942207193359974
się,24.959705520327077,0.02753708115585613
ciężki,24.46648398133876,0.00036024438979403626
miłosierdzie,24.34824644703361,0.00032662158007992623
cierpienie,23.321924411046947,0.0003794574239163849
kolejny,23.26968993178329,0.0013305026129726406
siebie,23.223260554663824,0.005240355056870581
miesiąc,21.845686801387146,0.0010951429449738703
na,21.49016641365384,0.016177374731017522
operacja,20.993521256529014,0.00032662158007992623
bo,20.89609108048566,0.0026225791577005842
poród,19.719015755155368,0.0002113433753458346
przypadek,19.663228858512152,0.0004226867506916692
dług,19.15938376454638,0.00020654011681524745
dziewczyna,18.77653088149169,0.0005091454042422379
uzdrowienie,18.271012680865244,0.0003554411312634491
walczyć,18.116360473547857,0.00032662158007992623
pojawiać,17.19409348494352,0.0003170150630187519
nie,17.08815697242619,0.021484975407316323
dobra,16.73093780758569,0.00025457270212111895
konkretny,16.378149090949115,0.00018252382416231172
choroba,16.36856269417484,0.0005235551798339993
zaufanie,16.059352991460493,0.00021614663387642177
trzeba,15.966870419962245,0.0006244236089763296
przyczyna,15.825696296353332,0.00017772056563172456
pierwsza,15.681030366553273,0.001119159237626806
walka,15.6145118443816,0.00032662158007992623
seks,15.6145118443816,0.00032662158007992623
warto,15.237350986933187,0.0002689824777128804
lekarz,14.979027544995112,0.0006100138333845681
może,14.954117986016605,0.0017339763295419613
oglądać,14.771450635975288,0.00026417921918229327
owoc,14.768065015889807,0.00023535966799877037
obój,14.725138735364768,0.00016811404857055025
wspólny,14.578359187494101,0.0004995388871810636
kryzys,14.177198919615584,0.00016331079003996312
znak,13.890436717895316,0.0003074085459575776
nawet,13.608421393197709,0.001565862280971411
doświadczenie,13.520209046405565,0.0006676529357516139
wspólnota,13.49941206631419,0.0003746541653857977
minuta,13.49425961633839,0.000192130341223486
nic,13.484677675839364,0.0016475176759913925
kapłan,12.987959701415438,0.00018732708269289885
razem,12.903683152422289,0.0010999462035044575
pielgrzymka,12.48416213317651,0.00018252382416231172
jeśli,12.319278295805915,0.0009990777743621273
piękny,12.205851039886443,0.0003122118044881648
wola,12.109056794893167,0.0003794574239163849
medytacja,11.982997010676126,0.00017772056563172456
mieć,11.88068722029874,0.0029924300645557947
druga,11.533029119828086,0.0008213572087304027
komunia,11.433587840850327,0.00025457270212111895
Paweł,11.433587840850327,0.00025457270212111895
dobrze,11.382726084288706,0.0010327005840762374
głęboki,11.141155064381378,0.00022575315093759606
obecna,10.928799280750528,0.0001344912388564402
można,10.830762113494913,0.000734898555179834
trudny,10.785102974194771,0.0008069474331386413
prośba,10.628628817078388,0.00029299877036581616
chora,10.590678503314244,0.0002449661850599447
eucharystia,10.395152594606785,0.00012968798032585307
choć,10.319055761054237,0.0007252920381186597
zdanie,10.264549006064152,0.00021614663387642177
dopiero,10.052636231563948,0.0005715877651398709
kilka,10.01663207512501,0.0012920765447279434
przed,9.97037420310172,0.0018972871195819243
chyba,9.958105883259716,0.0004130802336304949
czekać,9.84923195163848,0.0006244236089763296
problem,9.822572525531285,0.0012200276667691363
ból,9.75618362287462,0.0005283584383645865
bardziej,9.732247029062258,0.0011671918229326774
cisz,9.522009728548653,0.0001537042729787888
osoba,9.428098723304196,0.0015082231786043652
pani,9.422196073830818,0.00032181832154933905
wizyta,9.402468630537323,0.00020654011681524745
zdarzać,9.402468630537323,0.00020654011681524745
wynik,9.402468630537323,0.00020654011681524745
powtarzać,9.35293618849187,0.00023055640946818322
by,9.262884002941405,0.0035111819858592067
historia,9.198183916373502,0.00046111281893636643
podczas,8.968830450185543,0.000734898555179834
po,8.908736236777912,0.006104941592376268
dziecko,8.890377981272266,0.0021806793728865663
Krak,8.810935663565303,0.00011527820473409161
cud,8.803281831038994,0.0008021441746080541
zdrowie,8.723383191239048,0.0003122118044881648
nadzieja,8.46830619411016,0.0006532431601598525
Jan,8.419161143948912,0.000542768213956348
ważny,8.354120582005727,0.0008789963110974485
kurs,8.289202676343303,0.00011047494620350446
test,8.289202676343303,0.00011047494620350446
stres,8.289202676343303,0.00011047494620350446
powinien,8.179786605523155,0.00028339225330464184
łatwo,8.150634164462934,0.00021614663387642177
odkryć,8.139530436033885,0.000192130341223486
powiedzieć,8.125596609411367,0.002012565324316016
właściwie,8.088107734491079,0.00013929449738702736
rozwijać,8.088107734491079,0.00013929449738702736
podobnie,8.088107734491079,0.00013929449738702736
pomóc,7.810460212930025,0.0009174223793421457
przynosić,7.771096165358651,0.0001056716876729173
powinny,7.771096165358651,0.0001056716876729173
wyjątkowy,7.771096165358651,0.0001056716876729173
