keyword,log-likelihood,score
bóg,189.96537160557182,0.012589390107947903
Jezus,173.59686864303455,0.006362672322375398
Biblia,164.62207487345458,0.0012779726459471953
życie,161.31715918754713,0.009829513010849172
zbór,154.21134544391938,0.000829322674497648
alkohol,133.18575314418865,0.001359545368028931
Chrystus,112.45840623770972,0.0017402180710770318
czytać,96.02388764538885,0.0016450498953150066
chrzest,86.28217198525047,0.0006797726840144655
społeczność,85.47511997004301,0.0004758408788101259
być,78.12939700997163,0.07578105881393261
pastor,77.08497826090286,0.00046224542512983657
kościół,73.50599993606374,0.002583136199254969
nabożeństwo,72.88464228607262,0.0007613454060962014
papieros,67.40224483406618,0.0005166272398509939
ośrodek,64.50741135565399,0.000652581776653887
ja,62.59173761113516,0.016124208064823124
moja,61.04107956282945,0.008062104032411562
więzienie,57.31041400137453,0.0003806727030481007
przyjąć,56.78415124614952,0.0010876362944231448
pić,54.68640601661642,0.0006253908692933083
zbawienie,54.13623859787025,0.0005302226935312832
moi,52.79730177185965,0.004554476982896919
słowo,52.7294309754474,0.002841449819180466
chrześcijański,52.08935460201916,0.0005030317861707045
zbawić,50.759641748389726,0.00043505451776925796
testament,49.896590030270474,0.0003398863420072328
wieczny,48.52632632729866,0.0004214590640889687
człowiek,46.480674702224576,0.004133017918807951
Basia,43.88905847310356,0.00040786361040867934
aby,43.69768669026581,0.003045381624384806
uczęszczać,43.141085992625236,0.0003398863420072328
pustka,42.394413140769075,0.0005030317861707045
tam,42.32829078257558,0.001835386246839057
pieśń,39.598606503645236,0.0003806727030481007
wodny,38.54248913045143,0.00023112271256491829
dom,38.38738427367596,0.002487968023492944
pismo,37.20545937133016,0.0005846045082524404
wieczność,35.323231111290035,0.00025831361992549693
i,33.93548810534054,0.029787639013513882
narkotyk,33.65002912879554,0.00046224542512983657
zbawiciel,33.305380185304855,0.0004486499714495473
żyć,32.721982703942004,0.0017266226173967426
religia,31.458063918423182,0.0003534817956875221
boży,30.17765328541435,0.0022432498572477364
grzesznik,29.259372315402366,0.0002719090736057862
swoje,29.242213697373117,0.003466840688473774
serce,28.668692969259567,0.0028686407265410448
swój,28.426741743919962,0.0022432498572477364
Wojtek,28.317807777614288,0.00017674089784376105
werset,28.317807777614288,0.00017674089784376105
wołać,27.34320300830821,0.00031269543464665416
duch,27.270079647146062,0.0014547135437909563
palić,27.083989782599208,0.00028550452728607554
śpiewać,23.72906414465009,0.00039426815672839
syn,23.714526134190038,0.0011284226554640127
kolega,23.60555348083748,0.0005981999619327296
przyjść,23.604834396138706,0.0009788726649808304
prawda,23.55135780171605,0.0009924681186611198
palenie,23.15312527843296,0.00020393180520433967
picie,23.15312527843296,0.00020393180520433967
wyrok,23.15312527843296,0.00020393180520433967
lecz,22.955517936183718,0.0007341544987356228
bracia,22.91824127006817,0.0003262908883269435
katolicki,22.56915950168205,0.0005710090545721511
Ewangelia,22.39786878623729,0.0004486499714495473
mówić,21.317178937472207,0.0022024634962068686
głosić,21.16704169865025,0.00031269543464665416
moje,21.073247468831553,0.002093699866764554
narodzić,20.922573344607315,0.00023112271256491829
żywy,19.742648853034286,0.0005574136008918618
Ewa,19.593477090635492,0.0001495499904831824
Sławek,19.593477090635492,0.0001495499904831824
smutek,19.47359014881589,0.0004214590640889687
zmienić,19.130541942369618,0.0010876362944231448
miał,19.103667456779945,0.0019305544226010823
uczynić,19.08237957007216,0.00043505451776925796
znać,18.829123885300618,0.000829322674497648
wina,18.568913246873443,0.0004214590640889687
ukończyć,18.27718124105217,0.0001223590831226038
2004,18.27718124105217,0.0001223590831226038
wypełnić,17.33409604878616,0.0002719090736057862
kroczyć,17.256434397050093,0.0001359545368028931
ewangelia,17.256434397050093,0.0001359545368028931
umrzeć,16.870291428462597,0.0004214590640889687
stara,16.79958213148674,0.00019033635152405036
grzech,16.724166486062792,0.0014139271827500884
posłać,16.65730418396008,0.00016314544416347175
oddać,16.427704722447764,0.0007749408597764908
chrześcijanin,16.121091816872323,0.0002719090736057862
upijać,15.813890732716454,0.00010876362944231449
karny,15.813890732716454,0.00010876362944231449
towarzystwo,15.669915341566341,0.00025831361992549693
nowa,15.60976616510402,0.0011148272017837235
Pan,15.435084527273602,0.003140549800146831
służba,15.431247527468244,0.00031269543464665416
zgromadzenie,15.410144131815702,0.00020393180520433967
uwolnić,15.238095241644299,0.0004758408788101259
ponieważ,15.047924578639318,0.0008701090355385159
wyznać,14.992234440321557,0.0002719090736057862
gitara,14.952866271578879,0.0001223590831226038
diabeł,14.849297679104248,0.00017674089784376105
witać,14.629686157701183,0.0001359545368028931
kraść,14.629686157701183,0.0001359545368028931
ochrzczony,14.56860141822881,0.0001495499904831824
podobać,14.379981509980189,0.00021752725888462898
jako,14.235113562853712,0.0014139271827500884
krew,14.092767250576685,0.0003262908883269435
rodzina,14.078226315920816,0.0018897680615602142
impreza,14.048536267616853,0.0002447181662452076
realny,13.980362382999935,0.00020393180520433967
uzależniony,13.969747757552838,0.0002990999809663648
do,13.769887797260196,0.01420724909590233
moc,13.715636598955111,0.0005030317861707045
alkoholik,13.60313706196152,0.00019033635152405036
16,13.578249754463528,0.00031269543464665416
wyjechać,13.462562640788445,0.00028550452728607554
przebaczyć,13.462562640788445,0.00028550452728607554
2002,13.378573626797932,9.516817576202518e-05
pokutować,13.378573626797932,9.516817576202518e-05
odejście,13.378573626797932,9.516817576202518e-05
ty,13.35946790558733,0.0018897680615602142
śmierć,13.181565545656888,0.0006797726840144655
awantura,12.947699653089007,0.00016314544416347175
zmiana,12.78493427182795,0.0005981999619327296
prowadzenie,12.696383024974152,0.0001495499904831824
wewnątrz,12.696383024974152,0.0001495499904831824
mówiący,12.689910437097431,0.00010876362944231449
żywot,12.689910437097431,0.00010876362944231449
trzeźwy,12.689910437097431,0.00010876362944231449
lider,12.689910437097431,0.00010876362944231449
zamieszkać,12.550403083818924,0.00028550452728607554
przeklinać,12.528535829394524,0.0001359545368028931
okultyzm,12.492978137970056,0.0001223590831226038
amen,11.848168439126264,0.00017674089784376105
osobiście,11.524581755700952,0.00025831361992549693
kolano,11.51976077203678,0.00020393180520433967
pamiętać,11.480833523341587,0.0010196590260216983
uwierzyć,11.363838598139278,0.0005846045082524404
pewność,11.315634062422053,0.0004214590640889687
szkoła,11.102655409515357,0.0007205590450553334
używać,11.101793395101618,0.0001495499904831824
ciocia,11.101793395101618,0.0001495499904831824
nim,11.022768254999235,0.0014683089974712456
odpowiedzieć,11.021548074193479,0.0003806727030481007
najmłodsi,10.979295499873082,8.157272208173587e-05
Robert,10.979295499873082,8.157272208173587e-05
kac,10.979295499873082,8.157272208173587e-05
wojsko,10.979295499873082,8.157272208173587e-05
darmo,10.979295499873082,8.157272208173587e-05
dziewczę,10.979295499873082,8.157272208173587e-05
piekło,10.950096131911288,0.00021752725888462898
wspaniały,10.908614852882422,0.0005846045082524404
zabierać,10.789749710907504,0.0001359545368028931
zacząć,10.679779257797335,0.004119422465127661
sprawiedliwość,10.54582604580274,0.0001223590831226038
dziedzina,10.477275073833301,9.516817576202518e-05
kłamać,10.41209175515323,0.00010876362944231449
zginąć,10.41209175515323,0.00010876362944231449
kar,10.41209175515323,0.00010876362944231449
r,10.369479574409748,0.0002719090736057862
ciągnąć,10.151923931272327,0.00016314544416347175
któryś,9.991423756594902,0.00021752725888462898
kazanie,9.991423756594902,0.00021752725888462898
poznawać,9.588700703870973,0.0004486499714495473
uciekać,9.476194983712999,0.00017674089784376105
szczerze,9.41648615242363,0.00028550452728607554
kiedy,9.393694632751163,0.002787068004459309
brat,9.351585414878283,0.0006389863229735977
pragnąć,9.309538187739197,0.0007341544987356228
zwrócić,9.120428076126878,0.00031269543464665416
książka,9.08950252688157,0.0004758408788101259
inny,9.068561051426578,0.002583136199254969
czytanie,8.995340664192941,0.00016314544416347175
postępowanie,8.995340664192941,0.00016314544416347175
maić,8.918718782980072,0.0003398863420072328
ciepło,8.814057638248286,0.00023112271256491829
nowy,8.732030844108586,0.0005438181472115724
czynić,8.699641460926813,0.00039426815672839
chwała,8.666425769213845,0.0005030317861707045
cudowny,8.635852576706675,0.00046224542512983657
miła,8.631799768726003,0.00010876362944231449
rozdział,8.631799768726003,0.00010876362944231449
Australia,8.628217198525046,6.797726840144655e-05
wpajać,8.628217198525046,6.797726840144655e-05
kara,8.628217198525046,6.797726840144655e-05
nawiązać,8.628217198525046,6.797726840144655e-05
klub,8.628217198525046,6.797726840144655e-05
1989,8.628217198525046,6.797726840144655e-05
