keyword,log-likelihood,score
rekolekcja,101.59171121294332,1.1239624961573933
spowiedź,80.5576209886085,0.8597832769750999
świadek,71.07065627750498,1.4265677835843837
chłopak,70.67668796725673,1.023094067015063
związek,65.82480532593019,0.9126191208115586
czystość,56.91921696587981,0.6148170919151552
różaniec,53.00516455703417,0.5379649554257608
ciąża,50.2416156576502,0.5571779895481094
odmawiać,46.15368412032919,0.5956040577928067
Maryja,43.5416768218881,0.605210574853981
modlitwa,36.38796553332568,2.68021826006763
ślub,36.25931487239456,0.8357669843221642
badanie,35.530081834502816,0.3890639409775592
sakrament,34.974074218316375,0.38426068244697204
intencja,34.41867640471699,0.3794574239163849
tydzień,34.14423401116228,1.1095527205656317
matka,33.80658544466515,0.7829311404857054
małżeństwo,29.404429848038944,0.8021441746080541
ksiądz,27.080907964788786,0.8405702428527513
ciężki,24.46648398133876,0.3602443897940363
miłosierdzie,24.34824644703361,0.32662158007992625
cierpienie,23.321924411046947,0.3794574239163849
kolejny,23.26968993178329,1.3305026129726407
siebie,23.223260554663824,5.24035505687058
miesiąc,21.845686801387146,1.0951429449738703
operacja,20.993521256529014,0.32662158007992625
poród,19.719015755155368,0.2113433753458346
przypadek,19.663228858512152,0.4226867506916692
dług,19.15938376454638,0.20654011681524745
dziewczyna,18.77653088149169,0.5091454042422379
uzdrowienie,18.271012680865244,0.3554411312634491
walczyć,18.116360473547857,0.32662158007992625
pojawiać,17.19409348494352,0.31701506301875193
dobra,16.73093780758569,0.25457270212111893
konkretny,16.378149090949115,0.18252382416231172
choroba,16.36856269417484,0.5235551798339994
zaufanie,16.059352991460493,0.21614663387642177
przyczyna,15.825696296353332,0.17772056563172456
pierwsza,15.681030366553273,1.119159237626806
walka,15.6145118443816,0.32662158007992625
seks,15.6145118443816,0.32662158007992625
warto,15.237350986933187,0.2689824777128804
lekarz,14.979027544995112,0.6100138333845682
oglądać,14.771450635975288,0.26417921918229326
owoc,14.768065015889807,0.23535966799877037
obój,14.725138735364768,0.16811404857055023
wspólny,14.578359187494101,0.49953888718106365
kryzys,14.177198919615584,0.16331079003996313
znak,13.890436717895316,0.3074085459575776
doświadczenie,13.520209046405565,0.6676529357516139
wspólnota,13.49941206631419,0.3746541653857977
minuta,13.49425961633839,0.19213034122348602
kapłan,12.987959701415438,0.18732708269289886
razem,12.903683152422289,1.0999462035044576
pielgrzymka,12.48416213317651,0.18252382416231172
piękny,12.205851039886443,0.31221180448816477
wola,12.109056794893167,0.3794574239163849
medytacja,11.982997010676126,0.17772056563172456
mieć,11.88068722029874,2.9924300645557946
druga,11.533029119828086,0.8213572087304027
komunia,11.433587840850327,0.25457270212111893
Paweł,11.433587840850327,0.25457270212111893
głęboki,11.141155064381378,0.22575315093759607
obecna,10.928799280750528,0.1344912388564402
trudny,10.785102974194771,0.8069474331386413
prośba,10.628628817078388,0.2929987703658162
chora,10.590678503314244,0.2449661850599447
eucharystia,10.395152594606785,0.12968798032585308
choć,10.319055761054237,0.7252920381186597
zdanie,10.264549006064152,0.21614663387642177
dopiero,10.052636231563948,0.5715877651398709
chyba,9.958105883259716,0.4130802336304949
czekać,9.84923195163848,0.6244236089763295
problem,9.822572525531285,1.2200276667691363
ból,9.75618362287462,0.5283584383645865
cisz,9.522009728548653,0.1537042729787888
osoba,9.428098723304196,1.5082231786043652
wizyta,9.402468630537323,0.20654011681524745
zdarzać,9.402468630537323,0.20654011681524745
wynik,9.402468630537323,0.20654011681524745
powtarzać,9.35293618849187,0.2305564094681832
historia,9.198183916373502,0.4611128189363664
dziecko,8.890377981272266,2.180679372886566
Krak,8.810935663565303,0.1152782047340916
cud,8.803281831038994,0.8021441746080541
zdrowie,8.723383191239048,0.31221180448816477
nadzieja,8.46830619411016,0.6532431601598525
Jan,8.419161143948912,0.542768213956348
ważny,8.354120582005727,0.8789963110974486
kurs,8.289202676343303,0.11047494620350447
test,8.289202676343303,0.11047494620350447
stres,8.289202676343303,0.11047494620350447
łatwo,8.150634164462934,0.21614663387642177
odkryć,8.139530436033885,0.19213034122348602
powiedzieć,8.125596609411367,2.0125653243160158
właściwie,8.088107734491079,0.13929449738702734
rozwijać,8.088107734491079,0.13929449738702734
podobnie,8.088107734491079,0.13929449738702734
pomóc,7.810460212930025,0.9174223793421457
przynosić,7.771096165358651,0.1056716876729173
powinny,7.771096165358651,0.1056716876729173
wyjątkowy,7.771096165358651,0.1056716876729173
małżeński,7.758518747944189,0.2113433753458346
ciągły,7.727369890221864,0.18732708269289886
si,7.727369890221864,0.18732708269289886
zrobić,7.705768270688388,0.9990777743621273
par,7.6186754934665935,0.1344912388564402
msza,7.592879213352145,0.7060790039963111
mężczyzna,7.492998637360806,0.45150630187519214
kończyć,7.2891795937470505,0.24976944359053183
przygotowanie,7.256946136981344,0.10086842914233016
światowy,7.256946136981344,0.10086842914233016
powierzać,7.256946136981344,0.10086842914233016
ukochana,7.256946136981344,0.10086842914233016
korzystać,7.256946136981344,0.10086842914233016
koniec,7.235629913625807,1.2824700276667693
godzina,7.197045454100003,0.42749000922225633
temu,7.195609243778517,0.7493083307715954
sprawiać,7.11913000949545,0.22575315093759607
dar,7.0438694814028295,0.288195511835229
odmówić,6.988412653095709,0.20173685828466031
spacer,6.945218358947658,0.1537042729787888
bliskość,6.945218358947658,0.1537042729787888
maja,6.917606607734865,0.17772056563172456
ogromny,6.908086816488456,0.5859975407316323
źródło,6.747129808169195,0.09606517061174301
doktor,6.747129808169195,0.09606517061174301
pomagała,6.747129808169195,0.09606517061174301
